"Property Name","Property Code","Units","S8 Units","Portfolio Mgr","Regional VP","Regional CM","Contract Type","Last Renewal","Contract Exp","Contract Admin","Next UA Baseline","Paperwork Rec","Sent to HUD/CA","Conf by CA","Date to Order RCS","Due to HUD","Rent Increase","Increase Type","Notes"
"Pinewood Gardens","90092","80","80","Claire Beatty","","","Option 2","","12/31/2044","Assisted Housing Services Corporation","","","","","","10/01/2025","01/01/2026","OCAF",""
"Riverview Bend","90096","94","94","Claire Beatty","","","Option 1","","12/31/2044","Missouri Housing Development Commission","","","","","","09/01/2025","01/01/2026","OCAF",""
"Shawnee Village","75901","120","120","Matt Kim","","","Option 1","","12/31/2033","Illinois Housing Development Authority","","","","","","09/01/2025","01/01/2026","OCAF",""
"Southport Mews","75433","65","64","Matt Kim","","","Option 2","","10/31/2029","HUD","","","","","","09/01/2025","01/01/2026","OCAF",""
"Summit Oaks Apartments","670","50","50","Claire Beatty","","","Option 1","","01/01/2044","Navigate Affordable Housing Partners","","","","","","10/01/2025","01/01/2026","OCAF",""
"Sycamore Ridge","75912","304","304","Elliot Kohanbash","","","Option 4","","01/01/2033","NJHMFA","","","","","","09/01/2025","01/01/2026","RCS",""
"Westminster Village","75483","432","400","Matt Kim","","","Option 5","","12/31/2043","Massachusetts Housing Finance Agency","","","","","","09/01/2025","01/01/2026","OCAF",""
"Hill Country Villas","HCV1","51","51","Tolga Ayberk","","","Option 1","","02/01/2034","HUD","","","","","","08/01/2025","01/01/2026","OCAF",""
"Treemont Village","4640008","60","60","Elliot Kohanbash","","","Option 2","","01/01/2033","HUD","","","","","","09/02/2025","01/02/2026","OCAF",""
"Halcyon House","90067","197","197","Tolga Ayberk","","","Option 1","","01/03/2036","Colorado Housing and Finance Authority","","","","","07/04/2025","09/04/2025","01/04/2026","RCS",""
"Arlington Park","90022","130","130","Matt Kim","","","Option 1","","01/31/2037","Massachusetts Housing Finance Agency","","","","","","09/10/2025","01/10/2026","OCAF",""
"Washington Heights","75925","404","366","Matt Kim","","","Option 5","","01/30/2036","Massachusetts Housing Finance Agency","","","","","","09/15/2025","01/15/2026","OCAF",""
"Van Buren Park Apartments","75931","300","299","Matt Kim","","","Option 1","","01/31/2044","National Housing Compliance","","","","","","09/17/2025","01/17/2026","OCAF",""
"Fullerton Court","75918","196","195","Matt Kim","","","Option 1","","01/25/2034","National Housing Compliance","","","","","","09/26/2025","01/26/2026","OCAF",""
"Augustana Homes of Jewett","75534","72","72","Mike McKee","","","PRAC","","","HUD CT","","","","","","10/01/2025","02/01/2026","EXPIRES",""
"Circle Park Apartments","75833","418","239","Claire Beatty","","","Original","","01/31/2041","National Housing Compliance","","","","","08/01/2025","10/01/2025","02/01/2026","RCS",""
"Creekwood Apartments","75903","104","104","Matt Kim","","","Option 1","","01/31/2034","National Housing Compliance","","","","","","10/01/2025","02/01/2026","OCAF",""
"Fairview Gardens","90059","160","160","Mike McKee","","","Option 1","","01/31/2038","S.C. State Housing Finance and Development Authority","","","","","","10/01/2025","02/01/2026","OCAF",""
"Ferncliff South","4640005","84","84","Claire Beatty","","","Option 2","","01/31/2038","Navigate Affordable Housing Partners","","","","","","10/01/2025","02/01/2026","OCAF",""
"Greenport","75468","366","364","Elliot Kohanbash","","","Option 1","","01/31/2029","CGI","","","","","","10/01/2025","02/01/2026","OCAF",""
"Sandburg Village","75902","128","128","Matt Kim","","","Option 4","","02/01/2034","National Housing Compliance","","","","","","10/01/2025","02/01/2026","OCAF",""
"Senior World","75500","100","100","Mike McKee","","","Option 2","","02/01/2031","MSHDA","","","","","08/01/2025","10/02/2025","02/01/2026","RCS",""
"The Woods","75491","57","57","Matt Kim","","","Option 2","","01/31/2034","National Housing Compliance","","","","","","10/01/2025","02/01/2026","OCAF",""
"Market Square","75568","76","75","Mike McKee","","","Option 1","","02/03/2041","Navigate Affordable Housing Partners","","","","","08/04/2025","10/04/2025","02/04/2026","RCS",""
"Alpha Towers","90114","165","165","Claire Beatty","","","Option 1","","02/28/2044","Assisted Housing Services Corporation","","","","","","12/01/2025","03/01/2026","OCAF",""
"Country Village","75904","104","104","Matt Kim","","","Option 1","","02/29/2036","National Housing Compliance","","","","","09/01/2025","11/01/2025","03/01/2026","RCS",""
"Towns at River South","90109","161","75","Claire Beatty","","","RAD","","02/28/2043","Richmond Redevelopment and Housing Authority","","","","","","12/01/2025","03/01/2026","OCAF",""
"Armory Plaza","75582","52","52","Claire Beatty","","","Option 1","","03/20/2044","New York State Housing Trust Fund Corporation","","","","","","11/22/2025","03/22/2026","OCAF",""
"Barnum House","75569","84","83","Mike McKee","","","Option 1","","03/31/2041","Navigate Affordable Housing Partners","","","","","10/01/2025","12/01/2025","04/01/2026","RCS",""
"Bella Vista","79605","100","100","Tolga Ayberk","","","Option 1","","03/31/2041","Southwest Housing Compliance Corporation","","","","","10/01/2025","01/01/2026","04/01/2026","RCS",""
"Chelsea Square Apartments","82113","","","","","","","","","","","","","","","02/01/2026","04/01/2026","OCAF",""
"Courthouse Square","90055","171","171","Tolga Ayberk","","","Option 1","","12/31/2039","Colorado Housing and Finance Authority","","","","","","01/01/2026","04/01/2026","OCAF",""
"Fox Hill","90063","160","160","Claire Beatty","","","Option 1","","02/28/2045","Missouri Housing Development Commission","","","","","","12/01/2025","04/01/2026","OCAF",""
"Halcyon House","90067","197","197","Tolga Ayberk","","","Option 1","","01/03/2036","Colorado Housing and Finance Authority","","","","","","","04/01/2026","OCAF",""
"Mapleview Towers","75567","101","100","Mike McKee","","","Option 1","","03/31/2041","Navigate Affordable Housing Partners","","","","","10/01/2025","12/01/2025","04/01/2026","RCS",""
"Marshall Field","75911","628","628","Matt Kim","","","Option 1","","04/30/2035","National Housing Compliance","","","","","","12/01/2025","04/01/2026","OCAF",""
"Montgomery Gateway","90024","190","189","Elliot Kohanbash","","","Option 1","","03/31/2045","NJHMFA","","","","","","12/01/2025","04/01/2026","OCAF",""
"Montview Heights","90084","50","50","Tolga Ayberk","","","Option 1","","03/31/2040","Colorado Housing and Finance Authority","","","","","","12/01/2025","04/01/2026","OCAF",""
"MORH Housing","75927","126","125","Tolga Ayberk","","","Original","","03/31/2036","CAHI","","","","","10/01/2025","12/01/2025","04/01/2026","RCS",""
"Oak Center","75926","77","77","Tolga Ayberk","","","Option 1","","03/31/2036","CAHI","","","","","10/01/2025","12/01/2025","04/01/2026","RCS",""
"Park Club Apartments","75835","56","55","Mike McKee","","","Option 1","","03/31/2042","Wisconsin Housing & Economic Development Authority","","","","","","01/01/2026","04/01/2026","OCAF",""
"Riverwood","4640013","83","83","Mike McKee","","","Option 1","","03/31/2035","Navigate Affordable Housing Partners","","","","","","12/01/2025","04/01/2026","OCAF",""
"Riverwoods Apartments","79621","125","125","Claire Beatty","","","Option 2","","12/31/2043","CGI","","","","","","12/01/2025","04/01/2026","OCAF",""
"Roosevelt Apartments","90020","114","113","Matt Kim","","","Option 3","","03/31/2026","CGI","","","","","","12/01/2025","04/01/2026","EXPIRES",""
"Southeast Towers","75494","107","106","Mike McKee","","","PBV","","03/31/2028","NYS Homes and Community Renewal","","","","","","02/01/2026","04/01/2026","Request",""
"Southern Hills/Orlando","75834","212","212","Claire Beatty","","","Option 1","","03/31/2042","National Housing Compliance","","","","","","12/01/2025","04/01/2026","OCAF",""
"Spring Creek","75828","137","137","Matt Kim","","","Option 1","","03/31/2041","National Housing Compliance","","","","","10/01/2025","12/01/2025","04/01/2026","RCS",""
"St. James Residences","9200045","148","148","Elliot Kohanbash","","","Option 1","","04/01/2045","North Tampa Housing Development Corporation","","","","","","12/01/2025","04/01/2026","OCAF",""
"Brook","90023","98","97","Elliot Kohanbash","","","Option 3","","03/31/2031","CGI","","","","","","12/01/2025","04/01/2026","OCAF",""
"Hazelwood Towers","75146","97","95","Claire Beatty","","","Option 3","","04/14/2025","Pennsylvania Housing Finance Agency","","","","","","12/15/2025","04/15/2026","OCAF",""
"North Park","75478","123","123","Matt Kim","","","Option 1","","04/18/2031","CGI","","","","","","12/19/2025","04/19/2026","OCAF",""
"Arvada House","79619","88","88","Tolga Ayberk","","","Option 1","","04/30/2043","Colorado Housing and Finance Authority","","","","","","01/01/2026","05/01/2026","OCAF",""
"Crossroads of New Brighton","75947","172","172","Mike McKee","","","Option 1","","04/30/2036","Minn Housing","","","","","11/01/2025","01/01/2026","05/01/2026","RCS",""
"Crossroads of Shoreview","75948","44","44","Mike McKee","","","Option 2","","04/30/2036","Minn Housing","","","","","11/01/2025","01/01/2026","05/01/2026","RCS",""
"Darby Townhouses","90056","172","168","Claire Beatty","","","Option 2","","12/31/2032","Pennsylvania Housing Finance Agency","","","","","","02/01/2026","05/01/2026","OCAF",""
"Hacienda Del Rio","90120","146","146","Tolga Ayberk","","","Option 1","","05/01/2044","Arizona Department of Housing","","","","","","01/01/2026","05/01/2026","OCAF",""
"Park Bluff","75951","186","185","Mike McKee","","","Option 1","","03/31/2035","Wisconsin Housing & Economic Development Authority","","","","","","01/01/2026","05/01/2026","OCAF",""
"Pineview at Grogran's Mill","79606","300","300","Tolga Ayberk","","","Option 1","","04/30/2041","SWHCC","","","","","11/01/2025","01/01/2026","05/01/2026","RCS",""
"Poplar Grove","90117","130","128","Mike McKee","","","Option 1","","04/30/2044","North Carolina Housing Finance Agency","","","","","","01/01/2026","05/01/2026","OCAF",""
"Ridgewood at Panther Creek","79607","300","300","Tolga Ayberk","","","Option 1","","04/30/2041","SWHCC","","","","","11/01/2025","01/01/2026","05/01/2026","RCS",""
"Shiloh Village","75572","168","168","Tolga Ayberk","","","Option 1","","05/01/2041","SWHCC","","","","","11/01/2025","01/01/2026","05/01/2026","RCS",""
"Shoreline Plaza Apartments","79604","230","187","Mike McKee","","","Option 1","","04/30/2041","Minnesota Housing Finance Agency","","","","","11/01/2025","01/01/2026","05/01/2026","RCS",""
"Sumler Terrace","4640014","126","126","Elliot Kohanbash","","","Option 1","","04/30/2037","Virginia Housing Development Authority","","","","","","01/01/2026","05/01/2026","OCAF",""
"Trees - Willow","90107","63","63","Claire Beatty","","","Option 1","","04/30/2040","Colorado Housing and Finance Authority","","","","","","02/01/2026","05/01/2026","OCAF",""
"Woodman West","90112","197","196","Elliot Kohanbash","","","Option 1","","03/31/2044","Navigate Affordable Housing Partners","","","","","","02/01/2026","05/01/2026","OCAF",""
"Fairview Homes","75920","136","135","Elliot Kohanbash","","","Option 2","","05/07/2035","NJHMFA","","","","","","01/07/2026","05/07/2026","OCAF",""
"Hershey Plaza","75587","216","215","Claire Beatty","","","Option 1","","05/31/2037","Pennsylvania Housing Finance Agency","","","","","","02/28/2026","05/31/2026","OCAF",""
"Bannock Arms","90051","66","66","Tolga Ayberk","","","Option 1","","05/31/2039","Idaho Housing and Finance Association","","","","","","02/01/2026","06/01/2026","OCAF",""
"Branford Manor","75930","442","441","Mike McKee","","","Option 1","","06/01/2037","Navigate Affordable Housing Partners","","","","","","02/01/2026","06/01/2026","OCAF",""
"Carriage","90053","72","70","Mike McKee","","","Option 1","","05/31/2030","HUD","","","","","","03/01/2026","06/01/2026","OCAF",""
"Country Club Heights","79612","200","120","Claire Beatty","","","RAD","","04/01/2041","Quincy PHA","","","","","","02/01/2026","06/01/2026","OCAF",""
"Crossroads of Edina","75946","64","26","Mike McKee","","","Option 2","","05/31/2036","Minn Housing","","","","","12/01/2025","02/01/2026","06/01/2026","RCS",""
"HDR Fund","90080","125","125","Tolga Ayberk","","","Option 2","","05/31/2031","LA LOMOD","","","","","","02/01/2026","06/01/2026","OCAF",""
"Hopkins Village","79623","165","164","Matt Kim","","","Option 1","","06/01/2045","MDHCD","","","","","","02/01/2026","06/01/2026","OCAF",""
"Ingram Square","79193","120","120","Tolga Ayberk","","","Option 3","","06/30/2031","HUD (HAP)","","","","","","02/01/2026","06/01/2026","OCAF",""
"Lake Worth Towers","90110","195","195","Elliot Kohanbash","","","PBV","","05/09/2043","Palm Beach County Housing Authority","","","","","","03/01/2026","06/01/2026","Request",""
"Northgate Terrace","75919","201","155","Tolga Ayberk","","","Option 2","","05/31/2035","CAHI","","","","","","02/01/2026","06/01/2026","OCAF",""
"Oaks on Clark","79602","80","80","Tolga Ayberk","","","Option 2","","05/31/2040","SWHCC","","","","","","02/01/2026","06/01/2026","OCAF",""
"Parkside Houses","90017","180","122","Matt Kim","","","RAD","","05/31/2036","HUD","","","","","","02/01/2026","06/01/2026","OCAF",""
"River Trails","79614","220","215","Tolga Ayberk","","","Option 2","","05/31/2042","SWHCC","","","","","","04/01/2026","06/01/2026","OCAF",""
"South Bay Villa","79608","80","80","Tolga Ayberk","","","Option 1","","05/27/2041","LA LOMOD","","","","","12/01/2025","02/01/2026","06/01/2026","RCS",""
"Walnut Hill","75420","180","","Matt Kim","","","PBV","","","N/A","","","","","","02/01/2026","06/01/2026","Request",""
"Sandwich Manor","75444","90","89","Matt Kim","","","Option 1b","","07/01/2046","NHC","","","","","","02/24/2026","06/24/2026","OCAF",""
"Burt Farms I","75109","51","50","Elliot Kohanbash","","","Option 1","","06/30/2029","CGI","","","","","","02/26/2026","06/26/2026","OCAF",""
"Country Gardens","75118","58","57","Elliot Kohanbash","","","Option 4","","06/29/2026","CGI","","","","","12/30/2025","03/01/2026","06/30/2026","EXPIRES",""
"Marine Terrace","75922","497","441","Mike McKee","","","Option 1","","06/29/2036","CGI","","","","","12/30/2025","03/01/2026","06/30/2026","RCS",""
"PJ Housing","75481","51","50","Matt Kim","","","Option 2","","06/29/2031","CGI","","","","","12/30/2025","03/01/2026","06/30/2026","RCS",""
"333 Holly","75704","332","139","Tolga Ayberk","","","Option 1","","06/30/2040","SWHCC","","","","","","03/01/2026","07/01/2026","OCAF",""
"Augustana Homes of East Bridgeport","75538","48","48","Mike McKee","","","PRAC","","","HUD CT","","","","","","03/01/2026","07/01/2026","EXPIRES",""
"Butternut Creek","79617","100","198","Mike McKee","","","Option 2","","06/30/2043","MSHDA","","","","","","03/01/2026","07/01/2026","OCAF",""
"Campbell Terrace","75547","249","249","Claire Beatty","","","Option 1","","06/30/2039","National Housing Compliance","","","","","","03/01/2026","07/01/2026","OCAF",""
"Crossroads of East Ravenswood","75936","124","124","Claire Beatty","","","Option 1","","06/30/2036","National Housing Compliance","","","","","01/01/2026","03/01/2026","07/01/2026","RCS",""
"Fern","75466","205","204","Elliot Kohanbash","","","Option 1","","10/31/2028","Newark Filend Office - Region II","","","","","","03/01/2026","07/01/2026","OCAF",""
"Greenport","75468","366","364","Elliot Kohanbash","","","Option 1","","01/31/2029","CGI","","","","","","03/01/2026","07/01/2026","RCS",""
"Morningside Court","75573","171","171","Claire Beatty","","","Option 1","","06/30/2041","National Housing Compliance","","","","","01/01/2026","03/01/2026","07/01/2026","RCS",""
"New Horizons","75474","48","47","Elliot Kohanbash","","","Option 1","","04/30/2030","CGI","","","","","","03/01/2026","07/01/2026","OCAF",""
"Northgate Village","75542","168","168","Tolga Ayberk","","","Option 1","","06/30/2039","SWHA","","","","","","03/01/2026","07/01/2026","OCAF",""
"Nottingham Towers","90113","165","156","Mike McKee","","","Option 1","","05/31/2044","Navigate Affordable Housing Partners","","","","","","03/01/2026","07/01/2026","OCAF",""
"Nueva Americana","90088","49","49","Tolga Ayberk","","","Option 1","","06/30/2025","Colorado Housing and Finance Authority","","","","","","03/01/2026","07/01/2026","Expires",""
"Oakhaven","90090","35","35","Tolga Ayberk","","","Option 2","","06/30/2033","Idaho Housing and Finance Association","","","","","","03/01/2026","07/01/2026","OCAF",""
"Oceanport Gardens","75563","101","100","Elliot Kohanbash","","","Option 1","","06/27/2039","NJHMFA","","","","","","02/28/2026","07/01/2026","OCAF",""
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2026","07/01/2026","OCAF",""
"Shoreview Apartments","79627","156","156","Tolga Ayberk","","","Option 1","","07/01/2044","CAHI","","","","","","03/01/2026","07/01/2026","OCAF",""
"Talcott Gardens","75145","85","84","Mike McKee","","","Option 3","","06/30/2029","HUD","","","","","","03/01/2026","07/01/2026","OCAF",""
"Terrific Tenements","75475","88","88","Elliot Kohanbash","","","Option 1","","07/01/2045","CGI","","","","","","03/01/2026","07/01/2026","OCAF",""
"Terry Manor Apartments","79628","170","170","Tolga Ayberk","","","Option 1","","07/01/2044","LA LOMOD","","","","","","03/01/2026","07/01/2026","OCAF",""
"The Pines","75705","152","152","Tolga Ayberk","","","Option 1","","06/30/2040","SWHCC","","","","","","03/01/2026","07/01/2026","OCAF",""
"Tompkins Terrace","79622","193","61","Claire Beatty","","","PBV","","02/01/2040","City of Beacon Housing Authority","","","","","","03/01/2026","07/01/2026","Request",""
"Trees - Maple","90105","83","83","Claire Beatty","","","Option 1","","06/30/2037","Colorado Housing and Finance Authority","","","","","","04/01/2026","07/01/2026","OCAF",""
"Woodland Hills","79610","125","125","Mike McKee","","","Option 1","","06/30/2041","MSHDA","","","","","","03/01/2026","07/01/2026","RCS",""
"Woodland Towers","75934","104","104","Claire Beatty","","","Option 1","","06/30/2036","National Housing Compliance","","","","","01/01/2026","03/01/2026","07/01/2026","RCS",""
"Walden","75921","89","89","Elliot Kohanbash","","","Option 1","","07/14/2035","CGI","","","","","","03/15/2026","07/15/2026","OCAF",""
"All Hallows","79624","157","150","Tolga Ayberk","","","Option 1","","01/31/2026","CAHI","","","","","","04/01/2026","08/01/2026","OCAF",""
"Beacon Hill","79618","198","198","Mike McKee","","","Option 1","","07/31/2043","MSHDA","","","","","","06/01/2026","08/01/2026","OCAF",""
"Centennial Islands","75443","118","118","Matt Kim","","","Option 2","","07/31/2026","MassHousing","","","","","02/01/2026","04/01/2026","08/01/2026","EXPIRES",""
"Federation Plaza","90062","124","123","Elliot Kohanbash","","","Option 1","","07/31/2045","CGI","","","","","","04/01/2026","08/01/2026","OCAF",""
"Gates Mills Villa","90064","191","175","Claire Beatty","","","Option 1","","08/01/2044","Assisted Housing Services Corporation","","","","","","05/01/2026","08/01/2026","OCAF",""
"Golden Link Manor","90065","31","31","Tolga Ayberk","","","Option 4","","07/31/2036","Bremerton Housing Authority","","","","","","04/01/2026","08/01/2026","OCAF",""
"James Court","90078","50","50","Tolga Ayberk","","","Option 1","","07/31/2040","HUD","","","","","","05/01/2026","08/01/2026","OCAF",""
"La Salle","79626","145","142","Tolga Ayberk","","","Option 1","","01/31/2026","CAHI","","","","","","04/01/2026","08/01/2026","OCAF",""
"Manhattan Plaza","75425","1689","1689","Claire Beatty","","","Option 1","","07/31/2037","HPD","","","","","","04/01/2026","08/01/2026","OCAF",""
"Northpoint","79603","304","304","Claire Beatty","","","Option 1","","07/31/2040","National Housing Compliance","","","","","","04/01/2026","08/01/2026","OCAF",""
"Squire Village","90099","51","50","Tolga Ayberk","","","Option 4","","07/31/2040","Colorado Housing and Finance Authority","","","","","","04/01/2026","08/01/2026","OCAF",""
"The Lakewoods","75599","417","392","Claire Beatty","","","SPRAC","","08/27/2034","HUD","","","","","","05/01/2026","08/01/2026","OCAF",""
"West Haverstraw","75454","100","100","Matt Kim","","","Option 1","","07/31/2025","New York State Housing Trust Fund Corporation","","","","","","04/01/2026","08/01/2026","OCAF",""
"Westwood Village","4640009","","","","","","","","","","","","","","","04/01/2026","08/01/2026","OCAF",""
"Woodbury Oakwood","75488","96","96","Elliot Kohanbash","","","Option 2","","08/31/2028","NJHMFA","","","","","","04/05/2026","08/05/2026","RCS",""
"Victory-Fiedler","75490","39","38","Elliot Kohanbash","","","PBV","","08/14/2027","NYCHPD","","","","","","06/15/2026","08/15/2026","Request",""
"529 West 29th Street","75345","139","139","Mike McKee","","","Option 1","","08/31/2034","CGI","","","","","","05/01/2026","09/01/2026","OCAF",""
"Augustana Homes","75499","186","180","Mike McKee","","","Option 1","","06/17/2033","Navigate Affordable Housing Partners","","","","","","06/01/2026","09/01/2026","OCAF",""
"Avon Towers","90049","125","125","Mike McKee","","","Option 1","","08/31/2044","MSHDA","","","","","","05/01/2026","09/01/2026","OCAF",""
"Bayview","79625","146","113","Tolga Ayberk","","","Option 1","","01/31/2026","CAHI","","","","","","05/01/2026","09/01/2026","OCAF",""
"Clarendon Court","75546","152","152","Claire Beatty","","","Option 1","","08/31/2038","National Housing Compliance","","","","","","05/01/2026","09/01/2026","OCAF",""
"Garden House of River Oaks II","75935","145","145","Claire Beatty","","","Option 4","","08/31/2036","HUD","","","","","","05/01/2026","09/01/2026","OCAF",""
"Garden Vista","940001","150","149","Elliot Kohanbash","","","Option 1","","08/31/2034","CGI","","","","","","05/01/2026","09/01/2026","OCAF",""
"Gates Manor","75933","51","51","Claire Beatty","","","Option 1","","08/31/2036","National Housing Compliance","","","","","03/01/2026","05/01/2026","09/01/2026","RCS",""
"Highland Falls","75456","51","51","Matt Kim","","","Option 2","","08/31/2030","CGI","","","","","","05/01/2026","09/01/2026","OCAF",""
"Luther Towers","90111","362","362","Claire Beatty","","","SPRAC","","11/30/2043","Delaware State Housing Authority","","","","","","05/01/2026","09/01/2026","OCAF",""
"Midtown Estates","90083","88","87","Claire Beatty","","","Option 1","","08/31/2044","THDA","","","","","","06/01/2026","09/01/2026","OCAF",""
"Oaks on Lamar","75539","176","74","Tolga Ayberk","","","Option 1","","08/31/2038","SWHCC","","","","","","05/01/2026","09/01/2026","OCAF",""
"Peterson Plaza","75917","189","189","Mike McKee","","","Option 1","","08/31/2035","National Housing Compliance","","","","","","05/01/2026","09/01/2026","OCAF",""
"Plaza Apartments","90128","191","190","Claire Beatty","","","Option 1","","01/31/2037","Missouri Housing Development Commission","","","","","","06/01/2026","09/01/2026","OCAF",""
"River Run","75486","141","140","Mike McKee","","","Option 4","","04/01/2032","Navigate Affordable Housing Partners","","","","","","06/01/2026","09/01/2026","OCAF",""
"Riverside Townhomes","75540","128","128","Tolga Ayberk","","","Option 1","","08/31/2038","SWHCC","","","","","","05/01/2026","09/01/2026","OCAF",""
"Sheridan Park","75498","102","10","Matt Kim","","","Section 811","","08/31/2038","NHC","","","","","","05/01/2026","09/01/2026","Request",""
"Somers Point Apartments","75578","225","224","Elliot Kohanbash","","","Option 1","","08/31/2045","NJHMFA","","","","","","05/01/2026","09/01/2026","OCAF",""
"South Shore Apartments","7962079615","446","446","Mike McKee","","","Option 1","","06/30/2043","National Housing Compliance","","","","","","04/01/2026","09/01/2026","OCAF",""
"St. Andrews Residences","940005","177","177","Elliot Kohanbash","","","PBV","","08/31/2041","West Palm Beach Housing Authority","","","","","","05/01/2026","09/01/2026","Request",""
"The Biltmore Towers","79601","230","230","Matt Kim","","","Option 3","","08/31/2040","Assisted Housing Services Corporation","","","","","","05/01/2026","09/01/2026","OCAF",""
"The Greenhouse","90119","80","79","Matt Kim","","","","","08/31/2043","MassHousing","","","","","","06/01/2026","09/01/2026","OCAF",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","","06/01/2026","09/01/2026","OCAF",""
"Willow Woods","4640010","144","100","Mike McKee","","","Option 2","","08/31/2032","Navigate Affordable Housing Partners","","","","","","05/01/2026","09/01/2026","OCAF",""
"Parkway Gardens","75479","694","694","Matt Kim","","","Option 2","","06/20/2031","National Housing Compliance","","","","","","05/21/2026","09/21/2026","OCAF",""
"Holly House","75564","42","42","Elliot Kohanbash","","","Option 1","","09/23/2040","NJHMFA","","","","","","05/24/2026","09/24/2026","OCAF",""
"Alaska House","90045","105","105","Tolga Ayberk","","","Option 1","","09/30/2040","Bremerton Housing Authority","","","","","","06/01/2026","10/01/2026","OCAF",""
"Ashley Oaks","4640003","250","250","Matt Kim","","","RAD","","09/30/2036","HUD","","","","","","06/01/2026","10/01/2026","OCAF",""
"Brewster Mews","90016","216","215","Matt Kim","","","","","09/30/2041","HUD","","","","","04/01/2026","06/01/2026","10/01/2026","RCS",""
"Canal Lock Apartments","75139","52","51","Elliot Kohanbash","","","Option 3","","09/30/2034","CGI","","","","","","06/01/2026","10/01/2026","OCAF",""
"Charter Village","90054","250","220","Claire Beatty","","","Option 1","","09/30/2043","THDA","","","","","","06/01/2026","10/01/2026","OCAF",""
"Colonial Village","75708","66","66","Matt Kim","","","Option 1","","09/30/2041","HUD","","","","","04/01/2026","06/01/2026","10/01/2026","RCS",""
"Dawson Square","90057","36","36","Tolga Ayberk","","","Option 1","","09/30/2040","Colorado Housing and Finance Authority","","","","","","06/01/2026","10/01/2026","OCAF",""
"Ferncliff North","4640012","144","144","Claire Beatty","","","Option 1","","09/30/2034","Navigate Affordable Housing Partners","","","","","","06/01/2026","10/01/2026","OCAF",""
"Greenacres","75484","101","100","Elliot Kohanbash","","","Option 3","","09/30/2027","CGI","","","","","","06/01/2026","10/01/2026","OCAF",""
"Hampshire House","75495","116","115","Elliot Kohanbash","","","Option 1","","09/30/2029","NJHMFA","","","","","","06/01/2026","10/01/2026","OCAF",""
"Helios Station","90069","30","30","Tolga Ayberk","","","Option 1","","09/30/2040","Colorado Housing and Finance Authority","","","","","","06/01/2026","10/01/2026","OCAF",""
"Hilltop","90072","77","77","Tolga Ayberk","","","Option 1","","03/31/2024","Colorado Housing and Finance Authority","","","","","","12/01/2025","10/01/2026","OCAF",""
"Horizon Square","90074","92","92","Claire Beatty","","","Option 1","","09/30/2037","THDA","","","","","","07/01/2026","10/01/2026","OCAF",""
"Lathrop Homes IA","75545","414","151","Mike McKee","","","PBV","","09/30/2037","Chicago Housing Authority","","","","","","08/01/2026","10/01/2026","Request",""
"Newman Village","4640002","99","99","Mike McKee","","","RAD","","09/30/2036","HUD","","","","","","06/01/2026","10/01/2026","OCAF",""
"Northcross Townhomes","2640001","99","99","Mike McKee","","","Option 1","","09/30/2039","North Carolina Housing Finance Agency","","","","","","06/01/2026","10/01/2026","OCAF",""
"Overlook","75458","100","99","Elliot Kohanbash","","","Option 3","","09/30/2034","CGI","","","","","","06/01/2026","10/01/2026","OCAF",""
"Princeton Court Apartments","90019","304","144","Matt Kim","","","Option 1","","09/30/2041","NYS Housing Trust Fund","","","","","04/01/2026","06/01/2026","10/01/2026","RCS",""
"Terrace Ridge","90101","168","167","Claire Beatty","","","Option 1","","09/30/2029","Assisted Housing Services Corporation","","","","","","07/01/2026","10/01/2026","OCAF",""
"Tiffany Square","90102","52","52","Tolga Ayberk","","","Option 2","","09/30/2040","Colorado Housing and Finance Authority","","","","","","07/01/2026","10/01/2026","OCAF",""
"Trees - Ash","90103","53","53","Claire Beatty","","","Option 1","","09/30/2039","Colorado Housing and Finance Authority","","","","","","07/01/2026","10/01/2026","OCAF",""
"Universal City","75565","160","159","Claire Beatty","","","Option 3","","09/30/2037","National Housing Compliance","","","","","","06/01/2026","10/01/2026","OCAF",""
"Village Park","75431","200","167","Matt Kim","","","Option 5","","09/30/2037","Massachusetts Housing Finance Agency","","","","","","06/01/2026","10/01/2026","OCAF",""
"Walker Mews","75290","167","166","Matt Kim","","","Option 1","","09/30/2044","Maryland Department of Housing and Community Development","","","","","","06/01/2026","10/01/2026","OCAF",""
"Winter Garden","79609","112","112","Claire Beatty","","","Option 1","","10/21/2041","Missouri Housing Development Commission","","","","","04/01/2026","07/01/2026","10/01/2026","RCS",""
"Tyler House","90006","284","284","Mike McKee","","","Option 2","","09/30/2031","Assisted Housing Services Corporation","","","","","04/01/2026","06/01/2026","10/01/2026","RCS",""
"Geneseo","75477","89","88","Matt Kim","","","Option 1","","10/03/2029","CGI","","","","","","06/04/2026","10/04/2026","OCAF",""
"Burt Farms II","75480","50","50","Elliot Kohanbash","","","Option 2","","07/31/2031","CGI","","","","","","06/16/2026","10/16/2026","OCAF",""
"McCarthy Manor","75469","176","176","Matt Kim","","","Option 2","","10/26/2030","New York State Housing Trust Fund Corporation","","","","","","06/27/2026","10/27/2026","OCAF",""
